mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.6,1.2,0.0,0.026,0.031,0.057,1.44,1.589,0.0,H4,0.0
2.6,1.2,0.3,0.033,0.052,0.085,1.44,1.589,0.0,H4,0.0
2.6,1.2,0.8,0.047,0.107,0.154,1.44,1.589,0.0,H4,0.0
2.6,1.4,-0.3,0.0,0.005,0.005,1.575,1.714,0.0,H4,0.0
2.6,1.4,0.0,0.006,0.018,0.024,1.575,1.714,0.0,H4,0.0
2.6,1.4,0.3,0.013,0.039,0.052,1.575,1.714,0.0,H4,0.0
2.6,1.4,0.8,0.026,0.103,0.129,1.575,1.714,0.0,H4,0.0
2.6,1.6,-0.3,0.0,0.0,0.0,1.699,1.83,0.0,H4,0.0
2.6,1.6,0.0,0.0,0.004,0.004,1.699,1.83,0.0,H4,0.0
2.6,1.6,0.3,0.0,0.023,0.023,1.699,1.83,0.0,H4,0.0
2.6,1.6,0.8,0.006,0.092,0.098,1.699,1.83,0.0,H4,0.0
2.6,1.8,-0.3,0.0,0.0,0.0,1.814,1.939,0.0,H4,0.0
2.6,1.8,0.0,0.0,0.0,0.0,1.814,1.939,0.0,H4,0.0
2.6,1.8,0.3,0.0,0.006,0.006,1.814,1.939,0.0,H4,0.0
2.6,1.8,0.8,0.0,0.073,0.073,1.814,1.939,0.0,H4,0.0
2.6,2.0,-0.3,0.0,0.0,0.0,1.921,2.041,0.0,H4,0.0
2.6,2.0,0.0,0.0,0.0,0.0,1.921,2.041,0.0,H4,0.0
2.6,2.0,0.3,0.0,0.0,0.0,1.921,2.041,0.0,H4,0.0
2.6,2.0,0.8,0.0,0.039,0.039,1.921,2.041,0.0,H4,0.0
2.65,1.2,-0.3,0.02,0.016,0.035,1.452,1.603,0.0,H4,0.0
2.65,1.2,0.0,0.026,0.031,0.057,1.452,1.603,0.0,H4,0.0
2.65,1.2,0.3,0.034,0.051,0.085,1.452,1.603,0.0,H4,0.0
2.65,1.2,0.8,0.048,0.106,0.154,1.452,1.603,0.0,H4,0.0
2.65,1.4,-0.3,0.0,0.004,0.005,1.589,1.729,0.0,H4,0.0
2.65,1.4,0.0,0.006,0.017,0.024,1.589,1.729,0.0,H4,0.0
2.65,1.4,0.3,0.013,0.039,0.052,1.589,1.729,0.0,H4,0.0
2.65,1.4,0.8,0.026,0.103,0.129,1.589,1.729,0.0,H4,0.0
2.65,1.6,-0.3,0.0,0.0,0.0,1.714,1.847,0.0,H4,0.0
2.65,1.6,0.0,0.0,0.004,0.004,1.714,1.847,0.0,H4,0.0
2.65,1.6,0.3,0.0,0.022,0.022,1.714,1.847,0.0,H4,0.0
2.65,1.6,0.8,0.007,0.092,0.099,1.714,1.847,0.0,H4,0.0
2.65,1.8,-0.3,0.0,0.0,0.0,1.83,1.957,0.0,H4,0.0
2.65,1.8,0.0,0.0,0.0,0.0,1.83,1.957,0.0,H4,0.0
2.65,1.8,0.3,0.0,0.005,0.005,1.83,1.957,0.0,H4,0.0
2.65,1.8,0.8,0.0,0.072,0.072,1.83,1.957,0.0,H4,0.0
2.65,2.0,-0.3,0.0,0.0,0.0,1.939,2.06,0.0,H4,0.0
