mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.55,1.8,0.8,0.0,0.037,0.037,1.797,1.921,0.0,SLy,0.0
2.55,2.0,-0.3,0.0,0.0,0.0,1.903,2.022,0.0,SLy,0.0
2.55,2.0,0.0,0.0,0.0,0.0,1.903,2.022,0.0,SLy,0.0
2.55,2.0,0.3,0.0,0.0,0.0,1.903,2.022,0.0,SLy,0.0
2.55,2.0,0.8,0.0,0.01,0.01,1.903,2.022,0.0,SLy,0.0
2.6,1.2,-0.3,0.001,0.003,0.004,1.44,1.589,0.0,SLy,0.0
2.6,1.2,0.0,0.008,0.013,0.021,1.44,1.589,0.0,SLy,0.0
2.6,1.2,0.3,0.015,0.031,0.046,1.44,1.589,0.0,SLy,0.0
2.6,1.2,0.8,0.029,0.086,0.115,1.44,1.589,0.0,SLy,0.0
2.6,1.4,-0.3,0.0,0.0,0.0,1.575,1.714,0.0,SLy,0.0
2.6,1.4,0.0,0.0,0.002,0.002,1.575,1.714,0.0,SLy,0.0
2.6,1.4,0.3,0.0,0.016,0.016,1.575,1.714,0.0,SLy,0.0
2.6,1.4,0.8,0.009,0.076,0.084,1.575,1.714,0.0,SLy,0.0
2.6,1.6,-0.3,0.0,0.0,0.0,1.699,1.83,0.0,SLy,0.0
2.6,1.6,0.0,0.0,0.0,0.0,1.699,1.83,0.0,SLy,0.0
2.6,1.6,0.3,0.0,0.002,0.002,1.699,1.83,0.0,SLy,0.0
2.6,1.6,0.8,0.0,0.059,0.059,1.699,1.83,0.0,SLy,0.0
2.6,1.8,-0.3,0.0,0.0,0.0,1.814,1.939,0.0,SLy,0.0
2.6,1.8,0.0,0.0,0.0,0.0,1.814,1.939,0.0,SLy,0.0
2.6,1.8,0.3,0.0,0.0,0.0,1.814,1.939,0.0,SLy,0.0
2.6,1.8,0.8,0.0,0.037,0.037,1.814,1.939,0.0,SLy,0.0
2.6,2.0,-0.3,0.0,0.0,0.0,1.921,2.041,0.0,SLy,0.0
2.6,2.0,0.0,0.0,0.0,0.0,1.921,2.041,0.0,SLy,0.0
2.6,2.0,0.3,0.0,0.0,0.0,1.921,2.041,0.0,SLy,0.0
2.6,2.0,0.8,0.0,0.01,0.01,1.921,2.041,0.0,SLy,0.0
2.65,1.2,-0.3,0.001,0.002,0.004,1.452,1.603,0.0,SLy,0.0
2.65,1.2,0.0,0.008,0.013,0.021,1.452,1.603,0.0,SLy,0.0
2.65,1.2,0.3,0.015,0.03,0.046,1.452,1.603,0.0,SLy,0.0
2.65,1.2,0.8,0.03,0.085,0.115,1.452,1.603,0.0,SLy,0.0
2.65,1.4,-0.3,0.0,0.0,0.0,1.589,1.729,0.0,SLy,0.0
2.65,1.4,0.0,0.0,0.002,0.002,1.589,1.729,0.0,SLy,0.0
2.65,1.4,0.3,0.0,0.015,0.015,1.589,1.729,0.0,SLy,0.0
2.65,1.4,0.8,0.009,0.075,0.084,1.589,1.729,0.0,SLy,0.0
2.65,1.6,-0.3,0.0,0.0,0.0,1.714,1.847,0.0,SLy,0.0
2.65,1.6,0.0,0.0,0.0,0.0,1.714,1.847,0.0,SLy,0.0
2.65,1.6,0.3,0.0,0.002,0.002,1.714,1.847,0.0,SLy,0.0
2.65,1.6,0.8,0.0,0.059,0.059,1.714,1.847,0.0,SLy,0.0
2.65,1.8,-0.3,0.0,0.0,0.0,1.83,1.957,0.0,SLy,0.0
2.65,1.8,0.0,0.0,0.0,0.0,1.83,1.957,0.0,SLy,0.0
2.65,1.8,0.3,0.0,0.0,0.0,1.83,1.957,0.0,SLy,0.0
2.65,1.8,0.8,0.0,0.036,0.036,1.83,1.957,0.0,SLy,0.0
2.65,2.0,-0.3,0.0,0.0,0.0,1.939,2.06,0.0,SLy,0.0
2.65,2.0,0.0,0.0,0.0,0.0,1.939,2.06,0.0,SLy,0.0
2.65,2.0,0.3,0.0,0.0,0.0,1.939,2.06,0.0,SLy,0.0
2.65,2.0,0.8,0.0,0.01,0.01,1.939,2.06,0.0,SLy,0.0
2.7,1.2,-0.3,0.001,0.002,0.003,1.465,1.617,0.0,SLy,0.0
2.7,1.2,0.0,0.008,0.012,0.02,1.465,1.617,0.0,SLy,0.0
2.7,1.2,0.3,0.016,0.03,0.045,1.465,1.617,0.0,SLy,0.0
2.7,1.2,0.8,0.031,0.085,0.115,1.465,1.617,0.0,SLy,0.0
2.7,1.4,-0.3,0.0,0.0,0.0,1.603,1.745,0.0,SLy,0.0
2.7,1.4,0.0,0.0,0.001,0.001,1.603,1.745,0.0,SLy,0.0
2.7,1.4,0.3,0.0,0.015,0.015,1.603,1.745,0.0,SLy,0.0
2.7,1.4,0.8,0.01,0.075,0.084,1.603,1.745,0.0,SLy,0.0
2.7,1.6,-0.3,0.0,0.0,0.0,1.729,1.863,0.0,SLy,0.0
2.7,1.6,0.0,0.0,0.0,0.0,1.729,1.863,0.0,SLy,0.0
2.7,1.6,0.3,0.0,0.002,0.002,1.729,1.863,0.0,SLy,0.0
2.7,1.6,0.8,0.0,0.058,0.058,1.729,1.863,0.0,SLy,0.0
2.7,1.8,-0.3,0.0,0.0,0.0,1.847,1.974,0.0,SLy,0.0
2.7,1.8,0.0,0.0,0.0,0.0,1.847,1.974,0.0,SLy,0.0
2.7,1.8,0.3,0.0,0.0,0.0,1.847,1.974,0.0,SLy,0.0
2.7,1.8,0.8,0.0,0.036,0.036,1.847,1.974,0.0,SLy,0.0
2.7,2.0,-0.3,0.0,0.0,0.0,1.957,2.079,0.0,SLy,0.0
2.7,2.0,0.0,0.0,0.0,0.0,1.957,2.079,0.0,SLy,0.0
2.7,2.0,0.3,0.0,0.0,0.0,1.957,2.079,0.0,SLy,0.0
2.7,2.0,0.8,0.0,0.01,0.01,1.957,2.079,0.0,SLy,0.0
2.75,1.2,-0.3,0.0,0.002,0.003,1.478,1.63,0.0,SLy,0.0
2.75,1.2,0.0,0.008,0.012,0.02,1.478,1.63,0.0,SLy,0.0
2.75,1.2,0.3,0.016,0.029,0.045,1.478,1.63,0.0,SLy,0.0
2.75,1.2,0.8,0.032,0.084,0.116,1.478,1.63,0.0,SLy,0.0
2.75,1.4,-0.3,0.0,0.0,0.0,1.617,1.76,0.0,SLy,0.0
2.75,1.4,0.0,0.0,0.001,0.001,1.617,1.76,0.0,SLy,0.0
2.75,1.4,0.3,0.0,0.014,0.014,1.617,1.76,0.0,SLy,0.0
2.75,1.4,0.8,0.01,0.074,0.084,1.617,1.76,0.0,SLy,0.0
2.75,1.6,-0.3,0.0,0.0,0.0,1.745,1.88,0.0,SLy,0.0
2.75,1.6,0.0,0.0,0.0,0.0,1.745,1.88,0.0,SLy,0.0
2.75,1.6,0.3,0.0,0.002,0.002,1.745,1.88,0.0,SLy,0.0
2.75,1.6,0.8,0.0,0.058,0.058,1.745,1.88,0.0,SLy,0.0
2.75,1.8,-0.3,0.0,0.0,0.0,1.863,1.992,0.0,SLy,0.0
2.75,1.8,0.0,0.0,0.0,0.0,1.863,1.992,0.0,SLy,0.0
2.75,1.8,0.3,0.0,0.0,0.0,1.863,1.992,0.0,SLy,0.0
2.75,1.8,0.8,0.0,0.036,0.036,1.863,1.992,0.0,SLy,0.0
2.75,2.0,-0.3,0.0,0.0,0.0,1.974,2.097,0.0,SLy,0.0
2.75,2.0,0.0,0.0,0.0,0.0,1.974,2.097,0.0,SLy,0.0
2.75,2.0,0.3,0.0,0.0,0.0,1.974,2.097,0.0,SLy,0.0
2.75,2.0,0.8,0.0,0.009,0.009,1.974,2.097,0.0,SLy,0.0
2.8,1.2,-0.3,0.0,0.002,0.002,1.49,1.644,0.0,SLy,0.0
2.8,1.2,0.0,0.008,0.011,0.019,1.49,1.644,0.0,SLy,0.0
2.8,1.2,0.3,0.016,0.028,0.044,1.49,1.644,0.0,SLy,0.0
2.8,1.2,0.8,0.032,0.083,0.116,1.49,1.644,0.0,SLy,0.0
2.8,1.4,-0.3,0.0,0.0,0.0,1.63,1.774,0.0,SLy,0.0
2.8,1.4,0.0,0.0,0.0,0.0,1.63,1.774,0.0,SLy,0.0
2.8,1.4,0.3,0.0,0.014,0.014,1.63,1.774,0.0,SLy,0.0
